ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
908,Telangana,Empowerment Engineering Scholarship by Dr. APJ Abdul Kalam Foundation,ST,1500000,Graduation,Empowerment Engineering Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in ST category. The award amount is INR 12007 per year.,International,INR 12007,1 years,22th July 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Andhra Pradesh.
909,Gujarat,Merit Arts Scholarship by Dr. APJ Abdul Kalam Foundation,General,250000,HSC,Merit Arts Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 21270 per year.,Private,INR 21270,1 years,21th June 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Assam.
910,Delhi,Leadership Law Scholarship by Dr. APJ Abdul Kalam Foundation,General,750000,Engineering,Leadership Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 63577 per year.,Corporate,INR 63577,1 years,23th August 2025,Applicant must have scored at least 84% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SC category. Applicants must be residents of Rajasthan.
911,Tamil Nadu,Excellence Medical Scholarship by Bharti Enterprises,SC,750000,Diploma,Excellence Medical Scholarship by Bharti Enterprises provides financial assistance to students in SC category. The award amount is INR 85985 per year.,Private,INR 85985,2 years,4th July 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Andhra Pradesh.
912,Telangana,Merit Literature Scholarship by Indian Science Society,General,750000,Diploma,Merit Literature Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 34696 per year.,NGO,INR 34696,2 years,20th August 2025,Applicant must have scored at least 84% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of Uttar Pradesh.
913,Uttarakhand,Leadership Medical Scholarship by Indian Government,ST,0,Graduation,Leadership Medical Scholarship by Indian Government provides financial assistance to students in ST category. The award amount is INR 64523 per year.,International,INR 64523,2 years,8th August 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Telangana.
914,Assam,Leadership Economics Scholarship by Ambani Institute,EWS,750000,HSC,Leadership Economics Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 102706 per year.,Corporate,INR 102706,3 years,16th June 2025,Applicant must have scored at least 63% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Andhra Pradesh.
915,Jharkhand,Sustainability Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1000000,HSC,Sustainability Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 62791 per year.,Corporate,INR 62791,2 years,10th June 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Uttarakhand.
916,Maharashtra,Excellence Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation,all,750000,Medical,Excellence Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in all category. The award amount is INR 60684 per year.,Government,INR 60684,2 years,9th June 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of West Bengal.
917,Bihar,Leadership STEM Scholarship by Mahatma Gandhi Trust,OBC,0,Medical,Leadership STEM Scholarship by Mahatma Gandhi Trust provides financial assistance to students in OBC category. The award amount is INR 64845 per year.,Private,INR 64845,2 years,29th September 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Punjab.
918,Telangana,Global Economics Scholarship by Dr. APJ Abdul Kalam Foundation,all,1500000,Ph.D.,Global Economics Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in all category. The award amount is INR 67983 per year.,Corporate,INR 67983,3 years,22th June 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Jharkhand.
